observation_date,DSPIC96
2005-01-01,11226.5
2005-02-01,11229.0
2005-03-01,11268.8
2005-04-01,11304.2
2005-05-01,11352.7
2005-06-01,11375.5
2005-07-01,11387.1
2005-08-01,11405.3
2005-09-01,11365.2
2005-10-01,11428.7
2005-11-01,11500.1
2005-12-01,11535.2
2006-01-01,11651.8
2006-02-01,11702.8
2006-03-01,11747.5
2006-04-01,11744.4
2006-05-01,11736.8
2006-06-01,11751.9
2006-07-01,11746.9
2006-08-01,11737.0
2006-09-01,11800.1
2006-10-01,11853.7
2006-11-01,11901.9
2006-12-01,11958.6
2007-01-01,11956.6
2007-02-01,11996.0
2007-03-01,12035.1
2007-04-01,12052.8
2007-05-01,12059.9
2007-06-01,12053.3
2007-07-01,12066.4
2007-08-01,12070.9
2007-09-01,12089.6
2007-10-01,12080.4
2007-11-01,12070.1
2007-12-01,12120.5
2008-01-01,12137.1
2008-02-01,12141.8
2008-03-01,12145.9
2008-04-01,12100.8
2008-05-01,12696.2
2008-06-01,12376.6
2008-07-01,12188.7
2008-08-01,12120.6
2008-09-01,12149.0
2008-10-01,12240.5
2008-11-01,12345.9
2008-12-01,12288.8
2009-01-01,12361.5
2009-02-01,12241.9
2009-03-01,12242.7
2009-04-01,12320.0
2009-05-01,12500.1
2009-06-01,12273.2
2009-07-01,12218.7
2009-08-01,12194.8
2009-09-01,12230.6
2009-10-01,12193.2
2009-11-01,12224.4
2009-12-01,12280.2
2010-01-01,12285.8
2010-02-01,12292.0
2010-03-01,12340.3
2010-04-01,12447.1
2010-05-01,12540.3
2010-06-01,12544.3
2010-07-01,12554.2
2010-08-01,12591.4
2010-09-01,12589.9
2010-10-01,12592.5
2010-11-01,12605.1
2010-12-01,12680.6
2011-01-01,12740.1
2011-02-01,12776.6
2011-03-01,12742.7
2011-04-01,12721.3
2011-05-01,12705.3
2011-06-01,12756.9
2011-07-01,12805.6
2011-08-01,12799.7
2011-09-01,12781.7
2011-10-01,12791.9
2011-11-01,12782.7
2011-12-01,12898.5
2012-01-01,12967.5
2012-02-01,13029.6
2012-03-01,13066.4
2012-04-01,13116.5
2012-05-01,13112.5
2012-06-01,13097.2
2012-07-01,12999.8
2012-08-01,12961.6
2012-09-01,13053.1
2012-10-01,13142.0
2012-11-01,13315.7
2012-12-01,13642.7
2013-01-01,12845.5
2013-02-01,12813.9
2013-03-01,12852.1
2013-04-01,12893.4
2013-05-01,12954.2
2013-06-01,12955.7
2013-07-01,12941.8
2013-08-01,12969.6
2013-09-01,13027.5
2013-10-01,12974.6
2013-11-01,12998.9
2013-12-01,13019.1
2014-01-01,13079.5
2014-02-01,13148.0
2014-03-01,13219.9
2014-04-01,13270.2
2014-05-01,13312.9
2014-06-01,13360.4
2014-07-01,13386.8
2014-08-01,13445.9
2014-09-01,13486.3
2014-10-01,13550.7
2014-11-01,13624.4
2014-12-01,13719.1
2015-01-01,13797.7
2015-02-01,13848.0
2015-03-01,13811.3
2015-04-01,13842.0
2015-05-01,13865.6
2015-06-01,13874.1
2015-07-01,13905.7
2015-08-01,13935.8
2015-09-01,13972.2
2015-10-01,13996.9
2015-11-01,13993.4
2015-12-01,14060.2
2016-01-01,14121.1
2016-02-01,14135.3
2016-03-01,14135.4
2016-04-01,14106.2
2016-05-01,14095.5
2016-06-01,14104.9
2016-07-01,14160.1
2016-08-01,14176.7
2016-09-01,14209.1
2016-10-01,14235.4
2016-11-01,14273.6
2016-12-01,14313.7
2017-01-01,14373.7
2017-02-01,14416.8
2017-03-01,14476.3
2017-04-01,14509.3
2017-05-01,14610.7
2017-06-01,14618.7
2017-07-01,14660.2
2017-08-01,14678.3
2017-09-01,14706.0
2017-10-01,14748.6
2017-11-01,14771.1
2017-12-01,14797.9
2018-01-01,14886.6
2018-02-01,14921.1
2018-03-01,14974.8
2018-04-01,15007.2
2018-05-01,15057.8
2018-06-01,15119.3
2018-07-01,15184.7
2018-08-01,15238.6
2018-09-01,15237.5
2018-10-01,15274.1
2018-11-01,15315.2
2018-12-01,15506.5
2019-01-01,15536.3
2019-02-01,15560.4
2019-03-01,15566.5
2019-04-01,15534.2
2019-05-01,15532.4
2019-06-01,15562.1
2019-07-01,15581.4
2019-08-01,15664.3
2019-09-01,15697.5
2019-10-01,15718.1
2019-11-01,15766.9
2019-12-01,15683.8
2020-01-01,15857.3
2020-02-01,15916.8
2020-03-01,15704.9
2020-04-01,18030.2
2020-05-01,17114.4
2020-06-01,17047.5
2020-07-01,17195.8
2020-08-01,16524.8
2020-09-01,16616.5
2020-10-01,16552.9
2020-11-01,16350.6
2020-12-01,16391.2
2021-01-01,18146.5
2021-02-01,16633.9
2021-03-01,20445.8
2021-04-01,17335.4
2021-05-01,16836.3
2021-06-01,16757.8
2021-07-01,16867.8
2021-08-01,16832.4
2021-09-01,16641.8
2021-10-01,16648.1
2021-11-01,16598.3
2021-12-01,16525.4
2022-01-01,16143.2
2022-02-01,16143.0
2022-03-01,16065.5
2022-04-01,16063.7
2022-05-01,16049.1
2022-06-01,16015.9
2022-07-01,16219.1
2022-08-01,16314.4
2022-09-01,16372.3
2022-10-01,16424.3
2022-11-01,16436.5
2022-12-01,16497.5
2023-01-01,16808.5
2023-02-01,16879.1
2023-03-01,16968.0
2023-04-01,16983.3
2023-05-01,17041.9
2023-06-01,17050.3
2023-07-01,17061.6
2023-08-01,17085.8
2023-09-01,17101.1
2023-10-01,17152.8
2023-11-01,17229.4
2023-12-01,17267.4
2024-01-01,17426.2
2024-02-01,17442.4
2024-03-01,17486.9
2024-04-01,17464.9
2024-05-01,17511.1
2024-06-01,17515.6
2024-07-01,17505.0
2024-08-01,17494.6
2024-09-01,17519.6
2024-10-01,17568.5
2024-11-01,17592.4
2024-12-01,17605.8
2025-01-01,17661.4
